id,section_code,section_ref,subsection_title,clause_ref,subclause_ref,clause_title,clause_text,clause_type
T35,T,"Floor, Wall and Ceiling Finishes",,T35,,"Wall, ceiling and roof",(a) Linings over 300 millimetres wide shall be given in square metres. Those not exceeding,clause
T36,T,"Floor, Wall and Ceiling Finishes",,T36,,Metal trim,Metal trim at edges of linings shall be given in linear metres stating the size and method of fixing.,clause
T37,T,"Floor, Wall and Ceiling Finishes",,T37,,Self-finished partitions,"Self-finished partitions (e.g., precast terrazzo; precast mosaic) shall be given in accordance with the",clause
,U,Glazing,,,,,Glazing,section_header
,U,Glazing,Glass in openings,,,,Glass in openings,subsection
,U,Glazing,Leaded lights and copper lights in openings,,,,Leaded lights and copper lights in openings,subsection
,U,Glazing,Patent glazing,,,,Patent glazing,subsection
,U,Glazing,Dome-lights,,,,Dome-lights,subsection
U1,U,Glazing,,U1,,Glazing generally,(a) Work shall be grouped according to the kind and quality of glass and each group with its,clause
U2,U,Glazing,,U2,,Panes general,(a) Particulars of the following shall be given:-,clause
U3,U,Glazing,,U3,,Glass generally,"Sheet glass, rolled or cast glass, plate float or toughened glass shall each be given separately",clause
U4,U,Glazing,,U4,,Labours on glass panes,(a) Raking cutting shall be deemed to be included with the items.,clause
U5,U,Glazing,,U5,,Drilled panes,Drilled panes shall be enumerated stating the size of the pane and the diameter and number of the,clause
U6,U,Glazing,,U6,,Bent panes,"Bent panes shall be enumerated stating the size of the pane, the radius or girth of the bend and",clause
U7,U,Glazing,,U7,,Brilliant cut panes,Brilliant cut panes and panes with other decorative work shall each cut panes be enumerated,clause
U8,U,Glazing,,U8,,Silvered panes,Silvered panes shall be enumerated stating the size of the pane. Coloured silvering and gold,clause
U9,U,Glazing,,U9,,Glass jointing,"Glazing gaskets, cover beading and sealing of joints in panes with silicone and the like shall be given",clause
U10,U,Glazing,,U10,,Hermetically sealed,Double or multiple factory-made hermetically-sealed units shall sealed units be enumerated stating,clause
U11,U,Glazing,,U11,,Glass louvres,Glass louvres shall be enumerated stating the size; alternatively they may be given in linear metres,clause
U12,U,Glazing,,U12,,Bedding in strip,Bedding edges of panes in strips or channels shall be given in linear metres stating the kind of,clause
U13,U,Glazing,,U13,,Hacking out,Hacking out old glass and preparing rebates (measured the perimeter of the pane) shall be given in,clause
U14,U,Glazing,,U14,,"Glass to tops, shelves","Gloss shall be enumerated stating the size of, thickness and method affixing and descriptions shall",clause
U15,U,Glazing,,U15,,Lights generally,(a) Particulars in accordance with clause U2 (a) hereof shall e given with the addition of the,clause
U16,U,Glazing,,U16,,Light in openings,(a) Leaded lights and copper lights over 300 millimetres in both dimensions shall each be,clause
U16,U,Glazing,,U16,,Lights in openings,"(b) Lights with shaped heads, trefoils, quatre-foils and the like below the springing shall be",clause
U17,U,Glazing,,U17,,Labours on glass in,Raking cutting and curved cutting on glass in lights shall be deemed to be included to be included,clause
U18,U,Glazing,,U18,,Bent lights,"Bent lights shall be enumerated stating the size of the light, the radius or girth of the bend and",clause
U19,U,Glazing,,U19,,Saddle bars,"Saddle bars shall be given in linear metres stating the material, the size of the bar and the method",clause
U20,U,Glazing,,U20,,Mirror,Mirrors shall be enumerated stating the size and the method of fixing. Coloured mirrors shall be so,clause
U21,U,Glazing,,U21,,Patent Glazing,(a) Patent glazing (measured over bars) shall be given in square metres stating the length,clause
U22,U,Glazing,,U22,,Labours on patent,Raking cutting and curved cutting shall each be given separately in linear metres,clause
U23,U,Glazing,,U23,,Dome-lights,"Done-lights shall be enumerated stating the overall size, the shape and the method of fixing",clause
,V,Painting and Decorating,,,,,Painting and Decorating,section_header
,V,Painting and Decorating,Painting and similar work,,,,Painting and similar work,subsection
,V,Painting and Decorating,Polishing,,,,Polishing,subsection
,V,Painting and Decorating,Sign writing,,,,Sign writing,subsection
V1,V,Painting and Decorating,,V1,,Painting and decorating,(a) Work shall be grouped as follows and each group shall be given under an,clause
V2,V,Painting and Decorating,,V2,,Painting and similar,(a) Particulars of the following shall be given:-,clause
V3,V,Painting and Decorating,,V3,,On general surfaces,(a) Work on surfaces over 300 millimetres girth shall be given in square metres. Work on,clause
V4,V,Painting and Decorating,,V4,,On wood frames,"(a) Work on wood frames, linings, architraves, mullions and transomes (measured each side)",clause
V3,V,Painting and Decorating,,V3,,wooden windows and shall be given in accordance with Clause,hereof.,clause
V5,V,Painting and Decorating,,V5,,On metal windows and,(a) Work on metal windows and glazed metal doors (grouped together and measured on,clause
V6,V,Painting and Decorating,,V6,,On structural steelwork,"Work on structural steelwork shall be given in square metres. Work on members of roof trusses,",clause
V7,V,Painting and Decorating,,V7,,"On grilles, balustrades","(a) Work on ornamental grilles, ornamental balustrades, ornamental railings, ornamental",clause
V8,V,Painting and Decorating,,V8,,On gutters,"(a) Work over 300 millimetres girth on valley-gutters, parapet gutters and the like",clause
V9,V,Painting and Decorating,,V9,,On Pipes,(a) Work on small pipes shall be given in linear metres,clause
V10,V,Painting and Decorating,,V10,,"On bars, cables","Work over 300 millimetres girth on bars, cables, conduits, standards, straps, ducting, trunking, tray",clause
V11,V,Painting and Decorating,,V11,,On Sundries,"(a) Work on saddles, pipehooks, holderbats and the like shall be deemed to be included",clause
V12,V,Painting and Decorating,,V12,,Polishing,(a) Particulars of the following shall be given:-,clause
V13,V,Painting and Decorating,,V13,,Sign writing,"Letters or numerals, stops, direction-indicators and the like shall each be enumerated",clause
,W,Drainage,,,,,Drainage,section_header
,W,Drainage,Work in all trades,,,,Work in all trades,subsection
W1,W,Drainage,,W1,,External Drainage and,Site works and services shall be grouped as follows and each group shall be given under an,clause
W2,W,Drainage,,W2,,Drainage generally,(a) Any information available concerning the nature of the ground and strata and particulars,clause
W3,W,Drainage,,W3,,Pipe trenches,(a) Excavating pipe trenches shall be given in linear metres stating the starting level if other,clause
W4,W,Drainage,,W4,,Beds benching and,"Concrete beds, benchings and coverings shall each be given separately in linear metres stating the",clause
W5,W,Drainage,,W5,,Pipes,(a) Pipes of any material (measured over all pipe-fittings) shall be given in linear metres,clause
W6,W,Drainage,,W6,,Accessories,Accessories (e.g. gullies; traps; inspection shoes; fresh air inlets; non return flaps) shall each be,clause
W7,W,Drainage,,W7,,Open surface water,Open surface water channels and drains shall be given in linear metres and fully described.,clause
W8,W,Drainage,,W8,,Manholes soakaways,"(a) Inspection chambers, manholes, soakaways and the like (grouped together) shall be",clause
W9,W,Drainage,,W9,,Connections to sewers,Connecting ends of drains to public highways and any other work which may only be carried out by,clause
W10,W,Drainage,,W10,,Testing drains,Testing the drainage system shall be given as an item stating the method of testing,clause
W11,W,Drainage,,W11,,Water reticulation,(a) Work shall be grouped as follows and each group shall be given under an appropriate,clause
,X,Landscaping,,,,,Landscaping,section_header
X1,X,Landscaping,,X1,,Landscaping generally,(a) Particulars of the following shall be given,clause
X2,X,Landscaping,,X2,,"Seeding, turfing and",(a) Particulars of the following shall be given,clause
X3,X,Landscaping,,X3,,Planting,(a) Particulars of the following shall be given,clause
X4,X,Landscaping,,X4,,"Watering, maintaining","Watering, pruning, mowing, maintaining and protection of seedings/turves/grassing/plantings shall",clause
X5,X,Landscaping,,X5,,Contouring,"Excavations, filling, etc., shall be given in accordance with the rules laid down under “Excavation and",clause
X6,X,Landscaping,,X6,,"Topsoil, compost lime","Topsoil and compost shall be given in cubic metres, filling to plant boxes being given separately.",clause
X7,X,Landscaping,,X7,,Prunning of existing,Prunning of existing trees and shrubs shall be enumerated stating the type of shrub.,clause
X8,X,Landscaping,,X8,,Rockery boulders,Rockery boulders shall be suitably grouped and be enumerated.,clause
X9,X,Landscaping,,X9,,Retaining structures,"Retaining structures formed or filled gabion boxes and mattresses, concrete precast concrete,",clause
X10,X,Landscaping,,X10,,Pebble coverings,Pebble covering shall be given in square metres stating the type and thickness.,clause
X11,X,Landscaping,,X11,,"Ponds, water features","Ponds, water features, etc., formed of concrete, precast concrete masonry, etc., shall be given in",clause
X12,X,Landscaping,,X12,,Irrigation system,Irrigation systems shall be given in accordance with the principles laid down in the relevant trades.,clause
,Y,Roadworks,,,,,Roadworks,section_header
,Y,Roadworks,Generally to Section Y,,,,Generally to Section Y,subsection
Y1,Y,Roadworks,,Y1,,Roadworks generally,(a) Roadworks shall be classified according to,clause
Y2,Y,Roadworks,,Y2,,"Excavations, filling","Excavations, filling bases, etc., shall be given in accordance with the rules for “Excavation and",clause
Y3,Y,Roadworks,,Y3,,Insitu concrete roads,Concrete work shall be given in accordance with the rules for “concrete works”,clause
Y4,Y,Roadworks,,Y4,,Coated macadam,(a) Particulars of the following shall be given.,clause
Y5,Y,Roadworks,,Y5,,"Gravel, murram and",(a) The kind and quality of materials and the method of compaction shall be given,clause
Y6,Y,Roadworks,,Y6,,Interlocking bricks,(a) Particulars of the following shall be given,clause
Y7,Y,Roadworks,,Y7,,Road kerbs,"Works to kerbs, channeling, edging, humps and shoulders shall be measured in accordance with the",clause
Y8,Y,Roadworks,,Y8,,Road signs and crash,Works to road signs and crash barriers shall be given in accordance with the rules of the relevant,clause
Y9,Y,Roadworks,,Y9,,"Embarkments, and",Works to embarkments and gabions shall be given in accordance with the rules of the relevant,clause
Y10,Y,Roadworks,,Y10,,Jointing,Movement joint shall be given in linear metres.,clause
Y11,Y,Roadworks,,Y11,,Painting,Paintwork shall be given in accordance with the rules for “Painting and Decorations.”,clause
,Z,Fencing,,,,,Fencing,section_header
,Z,Fencing,Opening-type fencing,,,,Opening-type fencing,subsection
,Z,Fencing,Close-type fencing,,,,Close-type fencing,subsection
,Z,Fencing,Gates,,,,Gates,subsection
Z1,Z,Fencing,,Z1,,Fencing generally,(a) Particulars of the following shall be given:-,clause
Z2,Z,Fencing,,Z2,,Post-and-wire fencing,"Post -and -wire fencing shall be given in linear meters stating the height of the fencing, the gauge",clause
Z3,Z,Fencing,,Z3,,Post-and-rail fencing,"Post-and-rail fencing shall be given in linear metres stating the height of the fencing, the size and",clause
Z4,Z,Fencing,,Z4,,Chain-link and wire,Chain-link fencing and wire-mesh fencing shall be given separately in linear metres stating the,clause
Z5,Z,Fencing,,Z5,,Metal bar fencing,"(a) Metal bar fencing shall be given in linear metres stating the height of the fencing,",clause
Z6,Z,Fencing,,Z6,,Close-boarded fencing,"Close-boarded fencing shall be given in linear metres stating the height of the fencing, the size and",clause
Z7,Z,Fencing,,Z7,,Built-up concrete,"Built-up concrete fencing shall be given in linear metres stating the height of .the fencing, the size",clause
Z8,Z,Fencing,,Z8,,Corrugated Fencing,"Corrugated fencing shall be given in linear metres stating the height of the fencing, the size and",clause
Z9,Z,Fencing,,Z9,,Gates,"(a) Gates shall be enumerated stating the size and the method of construction. Hinges,",clause
