id,section_code,section_ref,subsection_title,clause_ref,subclause_ref,clause_title,clause_text,clause_type,order_in_section
Q40,Q,Plumbing and Engineering Installations,,Q40,,Clause,hereof.,clause,9
Q2,Q,Plumbing and Engineering Installations,,Q2,,Gutters generally,"Rainwater gutters (measured over all gutter- fittings, short running lengths and branches) shall be",clause,10
Q3,Q,Plumbing and Engineering Installations,,Q3,,Curved gutters,Curved gutters shall be so described stating mean radius,clause,11
Q4,Q,Plumbing and Engineering Installations,,Q4,,Cutter-joints,"(a) Providing materials, bolts, nuts, washers and everything else necessary for jointing",clause,12
Q5,Q,Plumbing and Engineering Installations,,Q5,,Gutter fittings,"(a) Gutter-fittings (e.g. bends; angles, shoes, offsets, elbows; junctions; stopped ends; nozzle",clause,13
Q6,Q,Plumbing and Engineering Installations,,Q6,,Gutter-supports,"Lugs cast on to gutters, brackets and straps shall be given in the description of the gutter",clause,14
Q7,Q,Plumbing and Engineering Installations,,Q7,,Pipes,"(a) Pipes (measured over all pipe-fittings, short running lengths and branches) shall be given",clause,15
Q8,Q,Plumbing and Engineering Installations,,Q8,,Special pipework,(a) Curved pipes shall be so described stating the mean radius,clause,16
Q9,Q,Plumbing and Engineering Installations,,Q9,,Pipe joints,"(a) Providing materials, heat, bolts, nuts, washers and everything else necessary for making",clause,17
Q10,Q,Plumbing and Engineering Installations,,Q10,,Labours on pipes,"Labours (e.g. made bends, made springs, made offsets) on pipes of all diametres shall each be",clause,18
Q11,Q,Plumbing and Engineering Installations,,Q11,,Pipe fittings,"(a) Pipe fittings (e.g. bends, springs, swan-necks, offsets, Y- junctions, double Y-junctions,",clause,19
Q9,Q,Plumbing and Engineering Installations,,Q9,,unions) except fillings as Clause,(b) shall each be enumerated separately as extra over,clause,20
Q12,Q,Plumbing and Engineering Installations,,Q12,,Pipe supports,(a) Particulars of the method of fixing shall be given in the description of pipe-supports as,clause,21
Q1,Q,Plumbing and Engineering Installations,,Q1,,Clause,(g) hereof. Culling and pinning ends of pipe supports shall be given in the,clause,22
Q13,Q,Plumbing and Engineering Installations,,Q13,,Pipe-sleeves and,"(a) Pipe-sleeves shall be enumerated stating the length thereof, the size and kind of pipe",clause,23
Q14,Q,Plumbing and Engineering Installations,,Q14,,Inspection doors,Inspection doors in pipes shall be enumerated as extra over the pipe in which they occur stating the,clause,24
Q15,Q,Plumbing and Engineering Installations,,Q15,,Dampers,Dampers in pipes shall be enumerated as extra over the pipe in which they occur stating the method,clause,25
Q16,Q,Plumbing and Engineering Installations,,Q16,,"Traps, thimbles","Traps, thimbles, ferrules, cones and the like shall each be enumerated stating the size thereof,",clause,26
Q17,Q,Plumbing and Engineering Installations,,Q17,,Rainwater - heads,"Rainwater, roof-outlets and the like shall each be enumerated separately stating the type, the size",clause,27
Q18,Q,Plumbing and Engineering Installations,,Q18,,Hopper-heads,"Hopper-heads and the like shall be enumerated stating the type thereof, the kind of pipe to which",clause,28
Q19,Q,Plumbing and Engineering Installations,,Q19,,Gratings,Gratings shall be enumerated stating the size of pipe or outlet to which it is attached,clause,29
Q20,Q,Plumbing and Engineering Installations,,Q20,,"Cowls, terminals, etc","(a) Cowls, terminals, hinged flaps, cross-wired ends and the like shall each be enumerated",clause,30
Q21,Q,Plumbing and Engineering Installations,,Q21,,Exhaust heads,"Exhaust heads shall be enumerated stating the number, type and size of the connections.",clause,31
Q22,Q,Plumbing and Engineering Installations,,Q22,,Driptrays tundishes,"Drip-trays and tundishes shall each be enumerated separately and stating the number, type and size",clause,32
Q23,Q,Plumbing and Engineering Installations,,Q23,,Independent,(a) Independent vertical steel chimneys shall be enumerated stating the internal diameter,clause,33
Q24,Q,Plumbing and Engineering Installations,,Q24,,Connections,"Connecting the ends of pipes at public mains, making good public highways and to mains any other",clause,34
Q25,Q,Plumbing and Engineering Installations,,Q25,,Equipment generally,All items of equipment shall be enumerated and fully described,clause,35
Q26,Q,Plumbing and Engineering Installations,,Q26,,Water tanks,"Expansion tanks, water-storage tanks and condense-water tanks shall each be enumerated",clause,36
Q27,Q,Plumbing and Engineering Installations,,Q27,,Hot water and,(a) Hot water cylinders and thermal-storage cylinders shall be enumerated separately stating,clause,37
Q28,Q,Plumbing and Engineering Installations,,Q28,,Appliances generally,"Assembling, providing mating flanges, couplings and everything necessary for jointing shall be",clause,38
Q29,Q,Plumbing and Engineering Installations,,Q29,,Sanitary appliances,"Baths, lavatory-basins, wash-tubs, showers, WC pans, WC suites, sinks, urinals, flushing cisterns,",clause,39
Q30,Q,Plumbing and Engineering Installations,,Q30,,Fire-fighting,"Fire-fighting appliances, foam-inlets, hydrants, extinguishers, blankets, buckets, fire house reels,",clause,40
Q31,Q,Plumbing and Engineering Installations,,Q31,,Ancillaries generally,"(a) Providing mating flanges, couplings, and everything necessary for jointing shall be",clause,41
Q32,Q,Plumbing and Engineering Installations,,Q32,,Valves and cocks,"Valves, cocks taps and other special fittings shall each be enumerated separately stating the type and",clause,42
Q33,Q,Plumbing and Engineering Installations,,Q33,,Sleeves and holes,(a) Sleeves shall be given in number grouped for pipes not exceeding 100m diameter and,clause,43
Q34,Q,Plumbing and Engineering Installations,,Q34,,Thermal insulation,(a) Particulars of the following shall be given:-,clause,44
Q34,Q,Plumbing and Engineering Installations,,Q34,,Insulation to plant,(a) Insulation to cylinders; tanks; and the like shall be enumerated stating the overall size or,clause,45
Q35,Q,Plumbing and Engineering Installations,,Q35,,Insulation of,(a) Insulation to pipework shall be given in linear metres stating the type and bore of the,clause,46
Q36,Q,Plumbing and Engineering Installations,,Q36,,Marking positions,"Marking the position of holes, mortices, chases and the like in the structure for each installation",clause,47
Q37,Q,Plumbing and Engineering Installations,,Q37,,Plans of the,Preparation plans or diagrams of the installation as fitted shall be given as an item stating the kind of,clause,48
Q38,Q,Plumbing and Engineering Installations,,Q38,,Testing the,Testing each installation shall be given as an item and fully described,clause,49
Q39,Q,Plumbing and Engineering Installations,,Q39,,Builder’s work,Builder’s work in connection with plumbing and drainage installations shall be grouped together,clause,50
Q40,Q,Plumbing and Engineering Installations,,Q40,,Cutting and pinning,"Cutting, pinning and making good ends of supports for equipment, appliances, fittings and the like",clause,51
Q41,Q,Plumbing and Engineering Installations,,Q41,,Cutting away and,Cutting away for and making good after the plumbers and engineers shall be given as follows:-,clause,52
R_HEADER,R,Mechanical Engineering Installation,,,,,Mechanical Engineering Installation,section_header,1
R_SUB_2,R,Mechanical Engineering Installation,Piped Systems,,,,Piped Systems,subsection,2
R_SUB_3,R,Mechanical Engineering Installation,Conveying installations,,,,Conveying installations,subsection,3
R_SUB_4,R,Mechanical Engineering Installation,Ductwork,,,,Ductwork,subsection,4
R1,R,Mechanical Engineering Installation,,R1,,Mechanical,(a) Work shall be grouped as follows and each group shall be given under an appropriate,clause,5
R2,R,Mechanical Engineering Installation,,R2,,Measurement of,Measurement of pipework shall be given in accordance with section Q hereof,clause,6
R3,R,Mechanical Engineering Installation,,R3,,Ducting,"(a) Ducting (measured over all duct-fittings, short running lengths and branches) shall be",clause,7
R4,R,Mechanical Engineering Installation,,R4,,Ducting joints,"(a) Providing materials, heat, bolts, nuts, washers and everything else necessary for making",clause,8
R5,R,Mechanical Engineering Installation,,R5,,Ducting fittings,Ducting-fittings (e.g. stop-ends; bends; offsets; diminishing pieces; change-of-section pieces; junction,clause,9
R6,R,Mechanical Engineering Installation,,R6,,Ducting supports,(a) Particulars of the method of fixing shall be given in the description of ducting supports as,clause,10
R7,R,Mechanical Engineering Installation,,R7,,Extract-hoods cowls,"Extra-hoods, cowls, terminals and the like shall each be enumerated separately stating the size and",clause,11
R8,R,Mechanical Engineering Installation,,R8,,"Ducting, insulation","Insulation and protection wrappings, coatings and linings to ducting shall be given in linear metres",clause,12
R9,R,Mechanical Engineering Installation,,R9,,Equipment generally,All items of equipment shall be enumerated and fully described.,clause,13
R10,R,Mechanical Engineering Installation,,R10,,"Diffuses, grilles","Diffusers, Grilles, attenuators, dampers and filters shall each be enumerated separately stating the",clause,14
R11,R,Mechanical Engineering Installation,,R11,,Lifts,(a) Lift installations shall be suitably grouped under heading stating whether a single lift,clause,15
R12,R,Mechanical Engineering Installation,,R12,,"Hoists, escalators and",Hoist escalator and conveyor installation shall be given in accordance with the rules of clause R10,clause,16
R13,R,Mechanical Engineering Installation,,R13,,Material handling,"Installations such as material handling, refuse disposal, waste compaction incineration, etc., shall be",clause,17
R14,R,Mechanical Engineering Installation,,R14,,Testing and,An item shall be given for testing and commissioning and descriptions shall include details of any,clause,18
R15,R,Mechanical Engineering Installation,,R15,,"Drawings, manuals, etc","An item shall be given for the provision of fitted drawings, manuals, operative training, etc.",clause,19
R16,R,Mechanical Engineering Installation,,R16,,Identification markets,"Description shall be deemed to include identification markers, direction indicators, labels, legend",clause,20
R17,R,Mechanical Engineering Installation,,R17,,Replacement parts,"Replacement parts, tool kits. etc., shall be enumerated.",clause,21
R18,R,Mechanical Engineering Installation,,R18,,Works by other trades,Works by other trades integral with mechanical installations shall be given in accordance with the,clause,22
S_HEADER,S,Electrical Installation,,,,,Electrical Installation,section_header,1
S_SUB_2,S,Electrical Installation,Equipment and control gear,,,,Equipment and control gear,subsection,2
S_SUB_3,S,Electrical Installation,"Conduits, trunking and tray",,,,"Conduits, trunking and tray",subsection,3
S_SUB_4,S,Electrical Installation,Cables and conductors,,,,Cables and conductors,subsection,4
S_SUB_5,S,Electrical Installation,Fittings and accessories,,,,Fittings and accessories,subsection,5
S_SUB_6,S,Electrical Installation,Sundries,,,,Sundries,subsection,6
S_SUB_7,S,Electrical Installation,Builder’s work,,,,Builder’s work,subsection,7
S_SUB_8,S,Electrical Installation,Protection,,,,Protection,subsection,8
S1,S,Electrical Installation,,S1,,Electrical installation,(a) Work shall be grouped as follows and each group shall be given under an appropriate,clause,9
S2,S,Electrical Installation,,S2,,Equipment,Equipment (e.g. prime-movers; generators; motors; fans; mechanical drives; batteries; rectifiers;,clause,10
S3,S,Electrical Installation,,S3,,Control-gear,Control-gear (e.g. fuse-and-Iink disconnecting boxes; isolator-switches; changeoverswitches; switch-,clause,11
S4,S,Electrical Installation,,S4,,Conduits,"(a) Conduits (measured over all conduit-boxes, conduit fittings, short running lengths and",clause,12
S5,S,Electrical Installation,,S5,,Trunking,"(a) Trunking (measured over all trunking-fillings, short running lengths and branches) shall",clause,13
S6,S,Electrical Installation,,S6,,Tray,"(a) Tray for cables shall be given in linear metres stating the width, the method of jointing",clause,14
S7,S,Electrical Installation,,S7,,Cables,"(a) Cables in conduits, ducts or trunking and cables fixed to tray shall be measured as the net",clause,15
S8,S,Electrical Installation,,S8,,Cable joints,"(a) Cable-joints shall be enumerated stating the type and size of cable. Joint-boxes, sealing-",clause,16
S9,S,Electrical Installation,,S9,,Cable supports,"(a) Components for supporting cables (e.g. saddles, cleats, clips; changers; suspenders)",clause,17
S10,S,Electrical Installation,,S10,,Cable-termination,(a) Cable termination glands shall be enumerated stating type and size of the cable and the,clause,18
S11,S,Electrical Installation,,S11,,Cable sleeves,(a) Supplying cable-sleeves (e.g. short lengths of metal pipe or of stoneware conduit) for,clause,19
S12,S,Electrical Installation,,S12,,Cable protection,Cables protection such as slabs and metal sheeting and warning devices such as PVC marker tapes,clause,20
S13,S,Electrical Installation,,S13,,Earthing,"(a) Tapes for earthing shall be given in linear metres stating the size. Saddles, cleats, clips,",clause,21
S14,S,Electrical Installation,,S14,,Lighting Conductors,(a) Lighting conductors shall be given in accordance with the rules for earthing,clause,22
S15,S,Electrical Installation,,S15,,Lighting fittings,(a) Pendant fittings (e.g. plain flexible cord pendants; conduit pendants; cham pendants),clause,23
S16,S,Electrical Installation,,S16,,"Clocks, telephone","(a) Clocks, bells, geysers, stores, heaters, thermostats, starters, motors, stand-by equipment,",clause,24
S17,S,Electrical Installation,,S17,,Accessories,Accessories (e.g. switches; sockets-outlets; switch-socket-outlets; clock-connector points;,clause,25
S18,S,Electrical Installation,,S18,,Marking positions,"Marking the positions of holes, mortices, chases and the like in the structure shall be given as an",clause,26
S19,S,Electrical Installation,,S19,,Identification positions,"Plates, discs and labels for the identification of plant, equipment, cables, switches and the like shall",clause,27
S20,S,Electrical Installation,,S20,,"Loose keys, tools and","Loose keys, tools, spares and the like shall each be enumerated separately stating the type and",clause,28
S21,S,Electrical Installation,,S21,,Electric meters,Electric meters shall be enumerated stating the capacity and the type. Connecting the cable-tails,clause,29
S22,S,Electrical Installation,,S22,,Connections to mains,"Connecting the ends of cables to public mains, making good public high ways and other work which",clause,30
S23,S,Electrical Installation,,S23,,Temporary operation,Temporarily operating each electrical installation shall be given as an item stating any required,clause,31
S24,S,Electrical Installation,,S24,,Disconnecting and,"Disconnecting, setting aside and refixing equipment (e.g. radiators; convectors) for the convenience",clause,32
S25,S,Electrical Installation,,S25,,Plans of the installation,Preparing plans or diagrams of the electrical installation as fitted shall be given as an item stating,clause,33
S26,S,Electrical Installation,,S26,,Testing the installations,Testing the installations shall be given as an item stating particulars of any special insurance cover,clause,34
S27,S,Electrical Installation,,S27,,Builder’s work,Builder’s work in connection with the electrical installations shall be grouped together,clause,35
S28,S,Electrical Installation,,S28,,Cable trenches,(a) Excavating cable -trenches shall be given in linear metres stating the average depth to,clause,36
S29,S,Electrical Installation,,S29,,Cable ducts and,"Duct-trenches, stoneware ducts and inspection chambers for underground cables shall be given in",clause,37
S30,S,Electrical Installation,,S30,,Bedding and pointing,"Bedding and pointing components or units of plant appliances, pointing and the like shall be",clause,38
S31,S,Electrical Installation,,S31,,Cutting and pinning,"Cutting and pinning ends of supports for equipment appliances, fittings, trunking, tray and the like",clause,39
S32,S,Electrical Installation,,S32,,Cutting away and,(a) In new structures (i.e. structures in the course of construction) cutting away for and,clause,40
S33,S,Electrical Installation,,S33,,Pylons and poles,"(a) Pylons, poles, hut-posts, wall-brackets, pole-brackets, pole-stays and the like for",clause,41
S34,S,Electrical Installation,,S34,,Metal work,"Metalwork in connection with the electrical installation (e.g. framework for supporting plant,",clause,42
S35,S,Electrical Installation,,S35,,Protection,"Where the work involves the use of mineral insulated copper-covered cable, protecting such cable",clause,43
S36,S,Electrical Installation,,S36,,Electronic installation,"Installations such as telecommunication, public address, closed circuit television, data transmission,",clause,44
T_HEADER,T,"Floor, Wall and Ceiling Finishes",,,,,"Floor, Wall and Ceiling Finishes",section_header,1
T_SUB_2,T,"Floor, Wall and Ceiling Finishes",In-situ finishings,,,,In-situ finishings,subsection,2
T_SUB_3,T,"Floor, Wall and Ceiling Finishes","Tile, slab or block finishings",,,,"Tile, slab or block finishings",subsection,3
T_SUB_4,T,"Floor, Wall and Ceiling Finishes",Plain sheet finishings,,,,Plain sheet finishings,subsection,4
T_SUB_5,T,"Floor, Wall and Ceiling Finishes",Beds and backings,,,,Beds and backings,subsection,5
T_SUB_6,T,"Floor, Wall and Ceiling Finishes",Lathing and baseboarding,,,,Lathing and baseboarding,subsection,6
T_SUB_7,T,"Floor, Wall and Ceiling Finishes",Suspended plain sheet linings with supporting metal work,,,,Suspended plain sheet linings with supporting metal work,subsection,7
T_SUB_8,T,"Floor, Wall and Ceiling Finishes",Self-finished partitions,,,,Self-finished partitions,subsection,8
T1,T,"Floor, Wall and Ceiling Finishes",,T1,,"Floor, wall and ceiling",(a) Work shall be grouped according to the kind of material and each group with its,clause,9
T2,T,"Floor, Wall and Ceiling Finishes",,T2,,In-situ finishings,(a),clause,10
T3,T,"Floor, Wall and Ceiling Finishes",,T3,,Floors and pavings,"(a) Floors and pavings to fall, cross-falls and slopes not exceeding 15 degrees from",clause,11
T4,T,"Floor, Wall and Ceiling Finishes",,T4,,Walls and ceilings,(a) Work to walls and ceilings shall each be given separately in square metres. Work to,clause,12
T5,T,"Floor, Wall and Ceiling Finishes",,T5,,Staircases,(a) Work to quarter-space and half space landings (grouped together) shall be given in,clause,13
T8,T,"Floor, Wall and Ceiling Finishes",,T8,,landings shall be given in accordance with Clause,(b) hereof.,clause,14
T6,T,"Floor, Wall and Ceiling Finishes",,T6,,Labours on finishings,(a) All joints and fair joints to abutments and boundaries shall be deemed to be included,clause,15
T7,T,"Floor, Wall and Ceiling Finishes",,T7,,Dividing strips,"Dividing strips in finishings shall be given in linear metres stating the size. Ends, angles and",clause,16
T8,T,"Floor, Wall and Ceiling Finishes",,T8,,Skirtings bands and,(a) Skirtings shall be given in linear metres stating the height on face. Raking skirtings and,clause,17
T9,T,"Floor, Wall and Ceiling Finishes",,T9,,Kerbs,Work to kerbs shall be given in linear metres stating the girth on face. Raking kerbs and vertical,clause,18
T10,T,"Floor, Wall and Ceiling Finishes",,T10,,Channels,(a) Working finishings into shallow channels shall be given in linear-metres as extra over the,clause,19
T11,T,"Floor, Wall and Ceiling Finishes",,T11,,Mouldings and cornices,"(a) Architraves, mouldings, ceiling-ribs and cornices (measured on face of wall or beam) shall",clause,20
T12,T,"Floor, Wall and Ceiling Finishes",,T12,,"Flush, raised or sunk","Flush, raised or sunk panels of contrasting colour (or of different material) in finishings shall each be",clause,21
T13,T,"Floor, Wall and Ceiling Finishes",,T13,,Metal beads,"Metal angle-beads, screed-beads and casing-beads in plasterwork shall each be given separately in",clause,22
T14,T,"Floor, Wall and Ceiling Finishes",,T14,,Ornaments,"Ornaments cast in situ, air gratings and the like shall be enmanated and including description of the",clause,23
T15,T,"Floor, Wall and Ceiling Finishes",,T15,,Metal lathing,Metal lathing and the like to receive in-situ finishes shall be given in square metres and the,clause,24
T16,T,"Floor, Wall and Ceiling Finishes",,T16,,"Tile, slab or block",(a) Particulars of the following shall be given:-,clause,25
T17,T,"Floor, Wall and Ceiling Finishes",,T17,,Floors pavements,"(a) Work to floors, pavements, walls, ceilings and staircases shall be given in accordance",clause,26
T4,T,"Floor, Wall and Ceiling Finishes",,T4,,"walls, etc with the rules for in-situ finishings in Clause n, T3","and T5 hereof, except that glass",clause,27
T16,T,"Floor, Wall and Ceiling Finishes",,T16,,coverings having any of the labours mentioned in Clause,paragraphs (d) (e) (g) (h) (j),clause,28
T18,T,"Floor, Wall and Ceiling Finishes",,T18,,Labour on finishings,(a) Square cutting shall be deemed to be included with the items,clause,29
T19,T,"Floor, Wall and Ceiling Finishes",,T19,,Dividing strips,"Dividing strips in finishings shall be given in linear metres stating the size. Ends, angles and",clause,30
T20,T,"Floor, Wall and Ceiling Finishes",,T20,,"Skirtings, bands",(a) Skirtings shall be given in linear metres stating the extreme height. Raking skirtings and,clause,31
T21,T,"Floor, Wall and Ceiling Finishes",,T21,,Kerbs,(a) Work to kerbs shall be given in linear metres stating the girth on face. Raking kerbs and,clause,32
T22,T,"Floor, Wall and Ceiling Finishes",,T22,,Channels,Block and scum channels and linings to channels shall each be given separately in linear metres,clause,33
T23,T,"Floor, Wall and Ceiling Finishes",,T23,,Covers and mouldings,"Special tiles and special slabs to form coved internal angles of any radius, rounded external angles",clause,34
T24,T,"Floor, Wall and Ceiling Finishes",,T24,,"Flush, raised sunk","Flush, raised or sunk panels of contrasting colour (or of different or materials) in finishings shall each",clause,35
T25,T,"Floor, Wall and Ceiling Finishes",,T25,,Plain sheet finishings,(a) Particulars of the following shall be given:-,clause,36
T26,T,"Floor, Wall and Ceiling Finishes",,T26,,Floor finishings,Finishings to floors shall be given in accordance with the rules for in-situ finishings in,clause,37
T3,T,"Floor, Wall and Ceiling Finishes",,T3,,Clause,hereof.,clause,38
T27,T,"Floor, Wall and Ceiling Finishes",,T27,,Wall and ceiling,(a) Finishings to walls and ceilings shall each be given separately in accordance with the,clause,39
T4,T,"Floor, Wall and Ceiling Finishes",,T4,,finishings rules for in-situ finishings in Clause,hereof.,clause,40
T28,T,"Floor, Wall and Ceiling Finishes",,T28,,Labours on finishings,(a) Square cutting shall be demed to be included with the items,clause,41
T29,T,"Floor, Wall and Ceiling Finishes",,T29,,Beds and backings,(a) Particulars of the following shall be given:-,clause,42
T2,T,"Floor, Wall and Ceiling Finishes",,T2,,iv. Nature of base as Clause,(b) (v) hereof,clause,43
T30,T,"Floor, Wall and Ceiling Finishes",,T30,,Beds and backings for,"(a) Screeds, beds and backing for floor, wall, ceiling and roof finishings shall be given in",clause,44
T3,T,"Floor, Wall and Ceiling Finishes",,T3,,"floor, wall, ceiling and accordance with the rules for in-situ finishings in Clause",and T4 hereof stating the type,clause,45
T6,T,"Floor, Wall and Ceiling Finishes",,T6,,Clause,hereof shall be deemed to roof finishings be included with the items,clause,46
T31,T,"Floor, Wall and Ceiling Finishes",,T31,,Lathing and,(a) Particulars of the following shall be given:-,clause,47
T32,T,"Floor, Wall and Ceiling Finishes",,T32,,Baseboarding,Base boarding (e.g. plaster-boarding) for wall and ceiling finishings shall be given in the description,clause,48
T33,T,"Floor, Wall and Ceiling Finishes",,T33,,Metal lathing,(a) Metal lathing over 300 millimetres wide for floor wall and ceiling finishings shall each be,clause,49
T34,T,"Floor, Wall and Ceiling Finishes",,T34,,Suspended plain sheet,(a) Particulars of the following shall be given:-,clause,50
T35,T,"Floor, Wall and Ceiling Finishes",,T35,,"Wall, ceiling and roof",(a) Linings over 300 millimetres wide shall be given in square metres. Those not exceeding,clause,51
T36,T,"Floor, Wall and Ceiling Finishes",,T36,,Metal trim,Metal trim at edges of linings shall be given in linear metres stating the size and method of fixing.,clause,52
T37,T,"Floor, Wall and Ceiling Finishes",,T37,,Self-finished partitions,"Self-finished partitions (e.g., precast terrazzo; precast mosaic) shall be given in accordance with the",clause,53
U_HEADER,U,Glazing,,,,,Glazing,section_header,1
U_SUB_2,U,Glazing,Glass in openings,,,,Glass in openings,subsection,2
U_SUB_3,U,Glazing,Leaded lights and copper lights in openings,,,,Leaded lights and copper lights in openings,subsection,3
U_SUB_4,U,Glazing,Patent glazing,,,,Patent glazing,subsection,4
U_SUB_5,U,Glazing,Dome-lights,,,,Dome-lights,subsection,5
U1,U,Glazing,,U1,,Glazing generally,(a) Work shall be grouped according to the kind and quality of glass and each group with its,clause,6
U2,U,Glazing,,U2,,Panes general,(a) Particulars of the following shall be given:-,clause,7
U3,U,Glazing,,U3,,Glass generally,"Sheet glass, rolled or cast glass, plate float or toughened glass shall each be given separately",clause,8
U4,U,Glazing,,U4,,Labours on glass panes,(a) Raking cutting shall be deemed to be included with the items.,clause,9
U5,U,Glazing,,U5,,Drilled panes,Drilled panes shall be enumerated stating the size of the pane and the diameter and number of the,clause,10
U6,U,Glazing,,U6,,Bent panes,"Bent panes shall be enumerated stating the size of the pane, the radius or girth of the bend and",clause,11
U7,U,Glazing,,U7,,Brilliant cut panes,Brilliant cut panes and panes with other decorative work shall each cut panes be enumerated,clause,12
U8,U,Glazing,,U8,,Silvered panes,Silvered panes shall be enumerated stating the size of the pane. Coloured silvering and gold,clause,13
U9,U,Glazing,,U9,,Glass jointing,"Glazing gaskets, cover beading and sealing of joints in panes with silicone and the like shall be given",clause,14
U10,U,Glazing,,U10,,Hermetically sealed,Double or multiple factory-made hermetically-sealed units shall sealed units be enumerated stating,clause,15
U11,U,Glazing,,U11,,Glass louvres,Glass louvres shall be enumerated stating the size; alternatively they may be given in linear metres,clause,16
U12,U,Glazing,,U12,,Bedding in strip,Bedding edges of panes in strips or channels shall be given in linear metres stating the kind of,clause,17
U13,U,Glazing,,U13,,Hacking out,Hacking out old glass and preparing rebates (measured the perimeter of the pane) shall be given in,clause,18
U14,U,Glazing,,U14,,"Glass to tops, shelves","Gloss shall be enumerated stating the size of, thickness and method affixing and descriptions shall",clause,19
U15,U,Glazing,,U15,,Lights generally,(a) Particulars in accordance with clause U2 (a) hereof shall e given with the addition of the,clause,20
U16,U,Glazing,,U16,,Light in openings,(a) Leaded lights and copper lights over 300 millimetres in both dimensions shall each be,clause,21
U16,U,Glazing,,U16,,Lights in openings,"(b) Lights with shaped heads, trefoils, quatre-foils and the like below the springing shall be",clause,22
U17,U,Glazing,,U17,,Labours on glass in,Raking cutting and curved cutting on glass in lights shall be deemed to be included to be included,clause,23
U18,U,Glazing,,U18,,Bent lights,"Bent lights shall be enumerated stating the size of the light, the radius or girth of the bend and",clause,24
U19,U,Glazing,,U19,,Saddle bars,"Saddle bars shall be given in linear metres stating the material, the size of the bar and the method",clause,25
U20,U,Glazing,,U20,,Mirror,Mirrors shall be enumerated stating the size and the method of fixing. Coloured mirrors shall be so,clause,26
U21,U,Glazing,,U21,,Patent Glazing,(a) Patent glazing (measured over bars) shall be given in square metres stating the length,clause,27
U22,U,Glazing,,U22,,Labours on patent,Raking cutting and curved cutting shall each be given separately in linear metres,clause,28
U23,U,Glazing,,U23,,Dome-lights,"Done-lights shall be enumerated stating the overall size, the shape and the method of fixing",clause,29
V_HEADER,V,Painting and Decorating,,,,,Painting and Decorating,section_header,1
V_SUB_2,V,Painting and Decorating,Painting and similar work,,,,Painting and similar work,subsection,2
V_SUB_3,V,Painting and Decorating,Polishing,,,,Polishing,subsection,3
V_SUB_4,V,Painting and Decorating,Sign writing,,,,Sign writing,subsection,4
V1,V,Painting and Decorating,,V1,,Painting and decorating,(a) Work shall be grouped as follows and each group shall be given under an,clause,5
V2,V,Painting and Decorating,,V2,,Painting and similar,(a) Particulars of the following shall be given:-,clause,6
V3,V,Painting and Decorating,,V3,,On general surfaces,(a) Work on surfaces over 300 millimetres girth shall be given in square metres. Work on,clause,7
V4,V,Painting and Decorating,,V4,,On wood frames,"(a) Work on wood frames, linings, architraves, mullions and transomes (measured each side)",clause,8
V3,V,Painting and Decorating,,V3,,wooden windows and shall be given in accordance with Clause,hereof.,clause,9
V5,V,Painting and Decorating,,V5,,On metal windows and,(a) Work on metal windows and glazed metal doors (grouped together and measured on,clause,10
V6,V,Painting and Decorating,,V6,,On structural steelwork,"Work on structural steelwork shall be given in square metres. Work on members of roof trusses,",clause,11
V7,V,Painting and Decorating,,V7,,"On grilles, balustrades","(a) Work on ornamental grilles, ornamental balustrades, ornamental railings, ornamental",clause,12
V8,V,Painting and Decorating,,V8,,On gutters,"(a) Work over 300 millimetres girth on valley-gutters, parapet gutters and the like",clause,13
V9,V,Painting and Decorating,,V9,,On Pipes,(a) Work on small pipes shall be given in linear metres,clause,14
V10,V,Painting and Decorating,,V10,,"On bars, cables","Work over 300 millimetres girth on bars, cables, conduits, standards, straps, ducting, trunking, tray",clause,15
V11,V,Painting and Decorating,,V11,,On Sundries,"(a) Work on saddles, pipehooks, holderbats and the like shall be deemed to be included",clause,16
V12,V,Painting and Decorating,,V12,,Polishing,(a) Particulars of the following shall be given:-,clause,17
V13,V,Painting and Decorating,,V13,,Sign writing,"Letters or numerals, stops, direction-indicators and the like shall each be enumerated",clause,18
W_HEADER,W,Drainage,,,,,Drainage,section_header,1
W_SUB_2,W,Drainage,Work in all trades,,,,Work in all trades,subsection,2
W1,W,Drainage,,W1,,External Drainage and,Site works and services shall be grouped as follows and each group shall be given under an,clause,3
W2,W,Drainage,,W2,,Drainage generally,(a) Any information available concerning the nature of the ground and strata and particulars,clause,4
W3,W,Drainage,,W3,,Pipe trenches,(a) Excavating pipe trenches shall be given in linear metres stating the starting level if other,clause,5
W4,W,Drainage,,W4,,Beds benching and,"Concrete beds, benchings and coverings shall each be given separately in linear metres stating the",clause,6
W5,W,Drainage,,W5,,Pipes,(a) Pipes of any material (measured over all pipe-fittings) shall be given in linear metres,clause,7
W6,W,Drainage,,W6,,Accessories,Accessories (e.g. gullies; traps; inspection shoes; fresh air inlets; non return flaps) shall each be,clause,8
W7,W,Drainage,,W7,,Open surface water,Open surface water channels and drains shall be given in linear metres and fully described.,clause,9
W8,W,Drainage,,W8,,Manholes soakaways,"(a) Inspection chambers, manholes, soakaways and the like (grouped together) shall be",clause,10
W9,W,Drainage,,W9,,Connections to sewers,Connecting ends of drains to public highways and any other work which may only be carried out by,clause,11
W10,W,Drainage,,W10,,Testing drains,Testing the drainage system shall be given as an item stating the method of testing,clause,12
