id,section_code,section_ref,subsection_title,clause_ref,subclause_ref,clause_title,clause_text,clause_type,order_in_section
K23,K,Roofing,,K23,,Flashings and,(a) Flashings and expansion joints shall be given separately in linear metres stating the overall,clause,31
K24,K,Roofing,,K24,,Louvres,Louvre-blades shall be given in linear metres stating the width or girth and the number,clause,32
K25,K,Roofing,,K25,,Roof-lights special,(a) Fixed and opening roof-lights (exclusive of glass) shall each be enumerated and separately,clause,33
K26,K,Roofing,,K26,,Roof Ventilators,Roof ventilators shall be enumerated stating the size and the type of base.,clause,34
K27,K,Roofing,,K27,,Thatch roofing,(a) Particulars of the following shall be given:-,clause,35
K28,K,Roofing,,K28,,Roof coverings,(a) Roof coverings (except to dormers and turrets) shall be given in square metres. over 45,clause,36
K29,K,Roofing,,K29,,Labours on roof,"(a) Cutting and facing to top abutments, side abutments, tile valleys, metal valleys,",clause,37
K30,K,Roofing,,K30,,"Eaves, verges, and","Eaves, verges, hips, valleys, ridges and the like (measured extreme dimensions) where involving",clause,38
K31,K,Roofing,,K31,,Wire netting,(a) Wire netting (measured the area covered) shall be given in square metres stating the,clause,39
K32,K,Roofing,,K32,,Roof decking,Particulars of the following shall be given:-,clause,40
K33,K,Roofing,,K33,,Roof coverings,Roof coverings shall be given in square metres. Coverings over 45 degrees from horizontal and,clause,41
K34,K,Roofing,,K34,,Labours on roof,"(a) Square cutting around openings over 0.50 square metre shall be given in linear metres,",clause,42
K35,K,Roofing,,K35,,"Bearings, eaves, kerbs","Bearings, eaves, kerbs, flashings and abutments with nibs built into chases shall each be given",clause,43
K36,K,Roofing,,K36,,Waterproofing roofs,(a) Particulars of the following shall be given:-,clause,44
K37,K,Roofing,,K37,,Roof coverings,Roof coverings shall be given in square metres. Classification shall be as follows:-,clause,45
K38,K,Roofing,,K38,,Labours on roof,"(a) Raking cutting, curved cutting, fair edges, turning into grooves, wedging and the like",clause,46
K39,K,Roofing,,K39,,"Flashings, skirtings","The turndown at eaves, verges and aprons shall be given separately in linear metres stating the",clause,47
K40,K,Roofing,,K40,,"Gutters, valleys and","(a) Linings to gutters, channels and valleys and coverings to kerbs shall each be given",clause,48
K41,K,Roofing,,K41,,Channels,Forming shallow channels including additional material shall be given in linear metres as extra over,clause,49
K42,K,Roofing,,K42,,Sumps and collars,(a) Linings to sumps and the like (grouped together) shall be enumerated stating the size.,clause,50
K43,K,Roofing,,K43,,Sheet metal roofing,(a) Particulars of the following shall be given:-,clause,51
K44,K,Roofing,,K44,,Roof coverings,Roof covering will be given in square metres. |Classification shall be as follows:-,clause,52
K45,K,Roofing,,K45,,Labour on sheet,(a) Raking cutting and curved cutting shall each be given separately in linear metres,clause,53
K46,K,Roofing,,K46,,Copper nailing,Nailing shall be given in linear metres and described,clause,54
K47,K,Roofing,,K47,,Collars around pipes,"Collars around pipes, standards and the like members passing through roofs (grouped together) shall",clause,55
K48,K,Roofing,,K48,,Sumps and the like,Linings to sumps and the like (grouped together) shall be enumerated stating the size. Outlets and,clause,56
K49,K,Roofing,,K49,,Sheet metal flashings,(a) Dressing gutters through outlets dressing into rainwater heads and the like labour shall,clause,57
K50,K,Roofing,,K50,,Flashings,"(a) Flashings, stepped flashings, aprons, weatherings to cornices, cappings to hips, ridges,",clause,58
K51,K,Roofing,,K51,,Preformed flashings,"Preformed flashings and trims, aprons, cappings and the like shall each be given separately in linear",clause,59
K52,K,Roofing,,K52,,Flat gutters,Flat gutter coverings shall be given in accordance with the rules for sheet metal roofing. (See Clause,clause,60
K44,K,Roofing,,K44,,,(iii) hereof).,clause,61
K53,K,Roofing,,K53,,Sloping gutters,(a) Linings to sloping gutters shall be given in linear metres stating the girth of the metal.,clause,62
K54,K,Roofing,,K54,,Soakers and metal,Supplying soakers and metal slates (for fixing by tiler) shall be enumerated separately stating the size.,clause,63
K55,K,Roofing,,K55,,Saddles,Saddles over abutments and intersections of hips and ridges (grouped together) shall be enumerated,clause,64
L_HEADER,L,Carpentry,,,,,Carpentry,section_header,1
L_SUB_2,L,Carpentry,Structural timbers,,,,Structural timbers,subsection,2
L_SUB_3,L,Carpentry,Boarding,,,,Boarding,subsection,3
L_SUB_4,L,Carpentry,Fillets grounds batterns and bracketing,,,,Fillets grounds batterns and bracketing,subsection,4
L_SUB_5,L,Carpentry,Sundries,,,,Sundries,subsection,5
L1,L,Carpentry,,L1,,Carpentry generally,(a) Particulars of the following shall be given:-,clause,6
L2,L,Carpentry,,L2,,Structural timbers,(a) Structural timbers shall be measured the net length as fixed in the work and given in linear,clause,7
L3,L,Carpentry,,L3,,Framed structural,"In the case of framed structural timbers such as trusses, trussed rafters, and trussed beams,",clause,8
L2,L,Carpentry,,L2,,the bill. The constituent members of the frame shall be measured as provided in Clause,hereof.,clause,9
L4,L,Carpentry,,L4,,Structural timber,(a) Structural poles shall be measured in linear metres (below and above the ground level),clause,10
L5,L,Carpentry,,L5,,Labours on structural,"(a) All cutting, scribing, splaying, notching, halving, morticing, tenoning and wedging shall be",clause,11
L6,L,Carpentry,,L6,,Brandering and,Brandering and nogging between joists measured over the joists shall each be given separately in,clause,12
L7,L,Carpentry,,L7,,Cleats and sprockets,"Cleats, sprockets, and the like shall each be enumerated separately stating the size",clause,13
L8,L,Carpentry,,L8,,Boarding generally,Boarding shall be measured as executed describing the function. No allowance shall be made for,clause,14
L9,L,Carpentry,,L9,,Weather boarding,Weather- boarding shall state the extreme thickness and width of the boards and the,clause,15
L10,L,Carpentry,,L10,,Gutter-boarding,(a) Gutter- boarding and gutter -sides over 300 millimetres maximum width in each length,clause,16
L11,L,Carpentry,,L11,,Eaves and verge,(a) Boarding over 300 millimetres wide to eaves and the like (grouped together) together),clause,17
L12,L,Carpentry,,L12,,Labours on boarding,"(a) Raking cutting, curved cutting and scribed edges on boarding and perimeter cutting on",clause,18
L13,L,Carpentry,,L13,,Fascia and barge,Fascia-boards and barge-boards shall each be given separately in linear metres stating the width,clause,19
L14,L,Carpentry,,L14,,Fillets grounds and,"(a) Fillet, grounds, batterns and the like shall be given in linear metres stating the size",clause,20
L15,L,Carpentry,,L15,,Skeleton framework,(a) Skeleton framework over 300 millimetres wide (measured overall) shall be given in square,clause,21
L16,L,Carpentry,,L16,,Bracketing,(a) Bracketing to form shaped false ceilings shall be given in detail.,clause,22
L17,L,Carpentry,,L17,,Plugging,"Plugging to concrete, brickwork, blockwork and stonework (grouped together) and irrespective of the",clause,23
M_HEADER,M,Joinery,,,,,Joinery,section_header,1
M_SUB_2,M,Joinery,Flooring,,,,Flooring,subsection,2
M_SUB_3,M,Joinery,"Boarded or panelled linings, casing and partitions",,,,"Boarded or panelled linings, casing and partitions",subsection,3
M_SUB_4,M,Joinery,"Doors, windows, skylights and lanterns",,,,"Doors, windows, skylights and lanterns",subsection,4
M_SUB_5,M,Joinery,"Frames, sills and kerbs",,,,"Frames, sills and kerbs",subsection,5
M_SUB_6,M,Joinery,"Fillets, glazing and beads and grounds",,,,"Fillets, glazing and beads and grounds",subsection,6
M_SUB_7,M,Joinery,"Shelves, table-tops and seats",,,,"Shelves, table-tops and seats",subsection,7
M_SUB_8,M,Joinery,Draining-boards and backboards,,,,Draining-boards and backboards,subsection,8
M_SUB_9,M,Joinery,Fittings and fixtures,,,,Fittings and fixtures,subsection,9
M_SUB_10,M,Joinery,Staircases,,,,Staircases,subsection,10
M_SUB_11,M,Joinery,Standard units,,,,Standard units,subsection,11
M_SUB_12,M,Joinery,Sundries,,,,Sundries,subsection,12
M_SUB_13,M,Joinery,Ironmongery,,,,Ironmongery,subsection,13
M1,M,Joinery,,M1,,Joinery Generally,(a) Particulars for the following shall be given,clause,14
M2,M,Joinery,,M2,,Flooring generally,(a) Flooring shall be measured as executed. No. allowances shall be made for tongues in,clause,15
M3,M,Joinery,,M3,,Board flooring and,Board and strip flooring shall be given in square metres stating the nominal width of the boards or,clause,16
M4,M,Joinery,,M4,,Cutting on flooring,"(a) Raking cutting, curved cutting and scribed edges on board and strip flooring and perimeter",clause,17
M5,M,Joinery,,M5,,Nosing and margins,"Nosings, bed-moulds and margins shall each be given separately in linear metres as extra over the",clause,18
M6,M,Joinery,,M6,,Access trap door,Access trapdoors in floors shall be enumerated as extra over the flooring in which they occur stating,clause,19
M7,M,Joinery,,M7,,"Linings, casings and",(a) Boarded work shall be measured as executed. No allowance shall be made for tongues in,clause,20
M8,M,Joinery,,M8,,Wall and ceiling,(a) Linings over 300 millimetres wide to walls and ceilings shall each be given separately in,clause,21
M9,M,Joinery,,M9,,Beams and column,"(a) Casings (measured on external face) around sides and soffits of beams, Iintols, cantilevers,",clause,22
M10,M,Joinery,,M10,,Cuttings on linings,"(a) Cuttings on the individual boards of conical boarding, spherical boarding and on groined",clause,23
M11,M,Joinery,,M11,,Applied mouldings,"Applied mouldings (other than panel moulds), cappings, inlays and the like shall each be given",clause,24
M12,M,Joinery,,M12,,Caps and bases to,Caps and bases to columns and pilasters shall each be enumerated separately stating the site.,clause,25
M13,M,Joinery,,M13,,Pipe casings,Casings (measured on external face) around pipes shall each be given separately in linear metres,clause,26
M14,M,Joinery,,M14,,Access trap doors,Access trap doors in linings and casings shall be enumerated as extra over the work in which they,clause,27
M15,M,Joinery,,M15,,Doors,(a) Doors shall be given in square metres irrespective of type (i.e. no distinction being made,clause,28
M16,M,Joinery,,M16,,Casements,(a) Casements shall be given in square metres stating the thickness and the number.,clause,29
M17,M,Joinery,,M17,,Double-hung sash,(a) Double-hung sash windows shall be measured over the frames and sills,clause,30
M18,M,Joinery,,M18,,Skylights and lanterns,(a) Skylights and lantern-tops shall each be given separately and enumerated stating the size,clause,31
M19,M,Joinery,,M19,,Windows-boards and,"Window-boards, nosings and bed moulds shall each be given separately in linear metres stating the",clause,32
M20,M,Joinery,,M20,,"Frames, sills and","(a) Frames, mullions, transomes, sills and kerbs shall be measured the length as fixed in the",clause,33
M21,M,Joinery,,M21,,Fillets,(a) Weather fillets and the like shall be given in linear metres stating the size. Those which are,clause,34
M22,M,Joinery,,M22,,Glazing beads and,Glazing-beads and the like except where otherwise included with the items shall be given in linear,clause,35
M23,M,Joinery,,M23,,Grounds and wall,"Grounds (or battens) shall be given in linear metres stating the size, or they may be given in the",clause,36
M24,M,Joinery,,M24,,"Skirtings, architraves","(a) Skirtings, architraves, picture-rails, dado-rails, wall mouldings, cornices, cappings, pelmets,",clause,37
M25,M,Joinery,,M25,,"Shelves, table-tops","(a) Shelves, divisions, table-tops, work-tops, counter- tops, seats and the like over 300",clause,38
M26,M,Joinery,,M26,,Cuttings and housings,"(a) Raking cutting, curved cutting and scribed edges shall each be given separately in linear",clause,39
